,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Manaure,CO,82.54,broken clouds,11.7751,-72.4445,Hotel Palaaima
326,Lazaro Cardenas,MX,84.58,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
327,Panama City,PA,82.13,light rain,8.9936,-79.5197,Trump International Hotel & Tower Panama
328,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
329,Angoche,MZ,78.31,clear sky,-16.2325,39.9086,Guest House HESADA
330,Rawson,AR,82.69,few clouds,-43.3002,-65.1023,Hosteria Sampedro
332,Mataram,ID,77.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
333,Harper,LR,78.75,scattered clouds,4.375,-7.7169,Screensaver
336,Bo Rai,TH,77.74,overcast clouds,12.5728,102.5371,Baiboon Resort
342,Kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
343,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
350,Valdivia,CL,75.29,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
358,Dangriga,BZ,81.75,light rain,16.9692,-88.2321,Chaleanor Hotel
360,Bonthe,SL,78.78,light rain,7.5264,-12.505,Bonthe Holiday Village
362,San Patricio,US,84.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
364,Acarau,BR,83.89,broken clouds,-2.8856,-40.12,castelo pizzaria
371,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
376,Odweyne,SO,79.12,overcast clouds,9.4092,45.064,Eng Hiirey House
379,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
383,Champerico,GT,86.54,moderate rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
384,Mambajao,PH,81.21,broken clouds,9.2504,124.7156,SomeWhere Else boutique resort
389,Sao Filipe,CV,79.16,overcast clouds,14.8961,-24.4956,Hotel Xaguate
393,Namatanai,PG,80.46,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
398,Benguela,AO,76.17,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
399,Berbera,SO,82.92,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
400,Labuhan,ID,79.02,broken clouds,-6.8844,112.2051,DoubleFAG
403,San Lorenzo,PY,86.94,clear sky,-25.3333,-57.5333,Canarias Hotel
404,Parana,AR,83.55,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
413,Machali,CL,77.88,overcast clouds,-34.1833,-70.6667,Mining House
416,Maciel,AR,88.57,clear sky,-32.4557,-60.8874,Log cabins Oliveros
424,Lumut,MY,77.79,overcast clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
426,Sinnamary,GF,79.72,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
