City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Lorengau,PG,-2.0226,147.2712,81.01,78,100,5.55,overcast clouds
113,Ribeira Grande,PT,38.5167,-28.7,66.78,82,40,13.8,scattered clouds
114,Kloulklubed,PW,7.0419,134.2556,83.93,74,100,7.18,overcast clouds
115,Paamiut,GL,61.994,-49.6678,14.9,59,24,7.47,few clouds
116,Kapaa,US,22.0752,-159.319,80.1,82,20,17.27,light rain
117,Vila Velha,BR,-20.3297,-40.2925,80.55,73,0,10.36,clear sky
118,Olinda,BR,-8.0089,-34.8553,83.93,61,20,6.91,few clouds
119,Caravelas,BR,-17.7125,-39.2481,75.07,66,100,7.27,overcast clouds
120,Shabqadar,PK,34.2139,71.5552,64.62,52,100,4.94,overcast clouds
121,Road Town,VG,18.4167,-64.6167,84.29,84,40,11.5,scattered clouds
122,Lompoc,US,34.6391,-120.4579,58.78,93,100,18.99,moderate rain
123,Avarua,CK,-21.2078,-159.775,75.25,60,20,10.36,few clouds
124,Atuona,PF,-9.8,-139.0333,76.77,69,100,13.91,overcast clouds
125,San Lawrenz,MT,36.0553,14.204,64.85,73,0,1.23,clear sky
126,Zinacantan,MX,16.75,-92.7,60.6,57,9,3.71,clear sky
127,Waingapu,ID,-9.6567,120.2641,79.0,82,100,6.91,overcast clouds
128,Pevek,RU,69.7008,170.3133,-7.28,100,81,4.16,broken clouds
129,Lubao,PH,14.9167,120.55,80.31,85,87,4.41,overcast clouds
130,Dunedin,NZ,-45.8742,170.5036,55.4,75,99,3.06,overcast clouds
131,Manica,FR,49.0,-1.1667,53.15,81,30,14.16,scattered clouds
132,Nanakuli,US,21.3906,-158.1547,80.87,61,0,6.91,clear sky
133,Pasighat,IN,28.0667,95.3333,64.4,79,2,3.11,clear sky
134,Sitka,US,57.0531,-135.33,33.69,55,75,4.61,broken clouds
135,Upernavik,GL,72.7868,-56.1549,4.12,65,19,7.07,few clouds
136,Omsukchan,RU,62.5333,155.8,0.07,99,100,6.87,overcast clouds
137,Torbay,CA,47.6666,-52.7314,45.75,61,75,31.07,broken clouds
138,Yellowknife,CA,62.456,-114.3525,7.32,92,100,2.3,light snow
139,Port Hardy,CA,50.6996,-127.4199,33.98,47,20,14.97,few clouds
140,Vaini,TO,-21.2,-175.2,75.36,78,20,8.05,few clouds
141,Isangel,VU,-19.55,169.2667,69.91,94,95,4.61,overcast clouds
142,Hami,CN,42.8,93.45,46.42,30,60,5.91,broken clouds
143,Nakhon Si Thammarat,TH,8.25,100.0,75.02,93,100,3.31,overcast clouds
144,Tuatapere,NZ,-46.1333,167.6833,53.42,82,100,3.09,overcast clouds
145,Kudligi,IN,14.9,76.3833,69.91,60,69,6.53,broken clouds
146,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,100,13.8,overcast clouds
147,Svetlogorsk,BY,52.6333,29.7333,45.72,90,87,7.74,overcast clouds
148,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,81,75,13.8,broken clouds
149,Manzanillo,CU,20.3433,-77.1167,84.87,56,10,6.08,clear sky
150,Ancud,CL,-41.8697,-73.8203,59.81,77,100,9.1,overcast clouds
151,Khatanga,RU,71.9667,102.5,-17.19,100,97,6.51,overcast clouds
152,Qaanaaq,GL,77.484,-69.3632,-8.48,74,31,6.89,scattered clouds
153,Saint Austell,GB,50.3383,-4.7658,56.08,82,20,14.97,light rain
154,Tiznit,MA,29.5833,-9.5,68.65,43,6,2.01,clear sky
155,Verkhoyansk,RU,67.5447,133.385,-8.64,99,100,3.31,overcast clouds
156,San Isidro,PE,-12.1167,-77.05,67.59,64,100,9.22,overcast clouds
